zip,city1,city2,city3,total reports,frisked,searchperson,searchedvehicle,summonsissued
02108,BOSTON,,,273,87,50,8,8
02109,BOSTON,,,59,20,7,1,3
02110,BOSTON,,,120,35,22,4,7
02111,BOSTON,,,429,94,70,20,27
02113,BOSTON,,,20,3,3,1,1
02114,BOSTON,,,87,28,14,2,2
02115,BOSTON,,,133,21,15,6,2
02116,BOSTON,,,214,58,34,11,15
02118,BOSTON,ROXBURY,,730,148,70,31,13
02119,BOSTON,ROXBURY,DORCHESTER,1125,265,111,86,30
02120,BOSTON,ROXBURY,,154,30,9,10,2
02121,BOSTON,,,590,176,62,65,12
02122,BOSTON,ROXBURY,DORCHESTER,192,52,22,16,2
02124,BOSTON,ROXBURY,DORCHESTER,539,214,83,59,11
02125,BOSTON,DORCHESTER,,395,131,43,41,5
02126,BOSTON,MATTAPAN,,263,103,58,32,9
02127,BOSTON,SOUTH BOSTON,,83,31,6,8,5
02128,BOSTON,EAST BOSTON,ROXBURY,136,46,25,10,7
02129,BOSTON,CHARLESTOWN,REVERE,109,39,15,12,4
02130,BOSTON,JAMAICA PLAIN,,250,50,14,9,2
02131,BOSTON,BRIGHTON,,44,13,2,8,1
02132,BOSTON,,,25,3,1,1,0
02134,ALLSTON,BOSTON,BRIGHTON,164,23,12,6,2
02135,BOSTON,BRIGHTON,,188,26,16,6,3
02136,BOSTON,HYDE PARK,,73,10,1,2,0
02199,BOSTON,,,12,2,1,0,1
02203,BOSTON,,,22,4,1,0,0
02210,BOSTON,,,14,2,2,0,0
02215,BOSTON,,,65,15,6,2,2
02467,BOSTON,,,1,0,0,0,0
00000-0000,BOSTON,ROXBURY,DORCHESTER,13,2,2,1,0